job_role,required_skills
Data Scientist,"python,machine learning,deep learning,sql,statistics,pandas,numpy,scikit-learn,data analysis,data visualization,tensorflow,pytorch"
Software Engineer,"python,java,javascript,git,rest api,sql,docker,linux,agile,data structures,algorithms,object oriented programming"
Data Analyst,"sql,excel,python,tableau,power bi,data analysis,statistics,pandas,data visualization,reporting,a/b testing"
ML Engineer,"python,machine learning,tensorflow,pytorch,docker,kubernetes,mlops,ci/cd,aws,scikit-learn,git,linux"
Web Developer,"html,css,javascript,react,git,sql,typescript,rest api,figma,node.js"
DevOps Engineer,"docker,kubernetes,linux,ci/cd,terraform,ansible,jenkins,aws,git,bash"
NLP Engineer,"python,nlp,transformers,pytorch,tensorflow,machine learning,spacy,nltk,bert,sql"
Business Analyst,"sql,excel,tableau,power bi,communication,project management,agile,statistics,jira,presentation"
Cybersecurity Analyst,"cybersecurity,networking,linux,python,penetration testing,cryptography,incident response"
Cloud Architect,"aws,azure,gcp,terraform,docker,kubernetes,networking,linux,ci/cd,devops"
Full Stack Developer,"html,css,javascript,react,node.js,sql,mongodb,git,rest api,docker"
Data Engineer,"python,sql,spark,hadoop,aws,docker,airflow,kafka,postgresql,git"
Product Manager,"agile,scrum,jira,communication,project management,sql,data analysis,stakeholder management"
UI/UX Designer,"figma,ui/ux,html,css,javascript,photoshop,user research,prototyping"
AI Research Scientist,"python,deep learning,pytorch,tensorflow,mathematics,statistics,nlp,computer vision,research"
